Error Report - Option Scanner Revenue Data Fetch
Timestamp: 2025-12-16T04:31:24.021970700
Total Errors: 1989

Missing or empty price for symbol: PAHC | Quote: {}
Missing or empty price for symbol: FMBH | Quote: {}
Missing or empty price for symbol: FIBK | Quote: {}
Missing or empty price for symbol: FIGS | Quote: {}
Missing or empty price for symbol: FLYW | Quote: {}
Missing or empty price for symbol: FKWL | Quote: {}
Missing or empty price for symbol: FPI | Quote: {}
Missing or empty price for symbol: FIS | Quote: {}
Missing or empty price for symbol: FHTX | Quote: {}
Missing or empty price for symbol: FIX | Quote: {}
Missing or empty price for symbol: FMAO | Quote: {}
Missing or empty price for symbol: FLUT | Quote: {}
Missing or empty price for symbol: FOX | Quote: {}
Missing or empty price for symbol: FLWS | Quote: {}
Missing or empty price for symbol: FIZZ | Quote: {}
Missing or empty price for symbol: GABC | Quote: {}
Missing or empty price for symbol: FVCB | Quote: {}
Missing or empty price for symbol: GAIA | Quote: {}
Missing or empty price for symbol: FULC | Quote: {}
Missing or empty price for symbol: FUL | Quote: {}
Missing or empty price for symbol: FSK | Quote: {}
Missing or empty price for symbol: FULT | Quote: {}
Missing or empty price for symbol: FSP | Quote: {}
Missing or empty price for symbol: GAMB | Quote: {}
Missing or empty price for symbol: AMBA | Quote: {}
Missing or empty price for symbol: FWONA | Quote: {}
Missing or empty price for symbol: FUN | Quote: {}
Missing or empty price for symbol: FWRD | Quote: {}
Missing or empty price for symbol: FWONK | Quote: {}
Missing or empty price for symbol: FRST | Quote: {}
Missing or empty price for symbol: JBIO | Quote: {}
Missing or empty price for symbol: GDRX | Quote: {}
Missing or empty price for symbol: AMBP | Quote: {}
Missing or empty price for symbol: AMCX | Quote: {}
Missing or empty price for symbol: GDS | Quote: {}
Missing or empty price for symbol: GBCI | Quote: {}
Missing or empty price for symbol: GH | Quote: {}
Missing or empty price for symbol: GENC | Quote: {}
Missing or empty price for symbol: GDEN | Quote: {}
Missing or empty price for symbol: GFS | Quote: {}
Missing or empty price for symbol: GERN | Quote: {}
Missing or empty price for symbol: GEL | Quote: {}
Missing or empty price for symbol: GIII | Quote: {}
Missing or empty price for symbol: GILD | Quote: {}
Missing or empty price for symbol: GIS | Quote: {}
Missing or empty price for symbol: GL | Quote: {}
Missing or empty price for symbol: GS | Quote: {}
Missing or empty price for symbol: GSM | Quote: {}
Missing or empty price for symbol: GT | Quote: {}
Missing or empty price for symbol: IMOS | Quote: {}
Missing or empty price for symbol: GNE | Quote: {}
Missing or empty price for symbol: AMGN | Quote: {}
Missing or empty price for symbol: GNK | Quote: {}
Missing or empty price for symbol: GNL | Quote: {}
Missing or empty price for symbol: HI | Quote: {}
Missing or empty price for symbol: GWRE | Quote: {}
Missing or empty price for symbol: GTN | Quote: {}
Missing or empty price for symbol: GXO | Quote: {}
Missing or empty price for symbol: HUMA | Quote: {}
Missing or empty price for symbol: AMH | Quote: {}
Missing or empty price for symbol: HCSG | Quote: {}
Missing or empty price for symbol: HAS | Quote: {}
Missing or empty price for symbol: GWW | Quote: {}
Missing or empty price for symbol: HAL | Quote: {}
Missing or empty price for symbol: H | Quote: {}
Missing or empty price for symbol: HIVE | Quote: {}
Missing or empty price for symbol: HASI | Quote: {}
Missing or empty price for symbol: HCI | Quote: {}
Missing or empty price for symbol: HIG | Quote: {}
Missing or empty price for symbol: HIPO | Quote: {}
Missing or empty price for symbol: GTX | Quote: {}
Missing or empty price for symbol: GTLB | Quote: {}
Missing or empty price for symbol: GTM | Quote: {}
Missing or empty price for symbol: FDS | Quote: {}
Missing or empty price for symbol: HRL | Quote: {}
Missing or empty price for symbol: HUBB | Quote: {}
Missing or empty price for symbol: AMKR | Quote: {}
Missing or empty price for symbol: HLMN | Quote: {}
Missing or empty price for symbol: HTHT | Quote: {}
Missing or empty price for symbol: HUN | Quote: {}
Missing or empty price for symbol: CATO | Quote: {}
Missing or empty price for symbol: HSBC | Quote: {}
Missing or empty price for symbol: HMY | Quote: {}
Missing or empty price for symbol: HNST | Quote: {}
Missing or empty price for symbol: HLT | Quote: {}
Missing or empty price for symbol: XPO | Quote: {}
Missing or empty price for symbol: ABEV | Quote: {}
Missing or empty price for symbol: HR | Quote: {}
Missing or empty price for symbol: HNRG | Quote: {}
Missing or empty price for symbol: HOUS | Quote: {}
Missing or empty price for symbol: HRI | Quote: {}
Missing or empty price for symbol: HUT | Quote: {}
Missing or empty price for symbol: SO | Quote: {}
Missing or empty price for symbol: HLNE | Quote: {}
Missing or empty price for symbol: BEKE | Quote: {}
Missing or empty price for symbol: NBHC | Quote: {}
Missing or empty price for symbol: BEAM | Quote: {}
Missing or empty price for symbol: AZO | Quote: {}
Missing or empty price for symbol: HTGC | Quote: {}
Missing or empty price for symbol: IE | Quote: {}
Missing or empty price for symbol: HY | Quote: {}
Missing or empty price for symbol: ICLR | Quote: {}
Missing or empty price for symbol: IAS | Quote: {}
Missing or empty price for symbol: IDN | Quote: {}
Missing or empty price for symbol: IBN | Quote: {}
Missing or empty price for symbol: ICHR | Quote: {}
Missing or empty price for symbol: HYLN | Quote: {}
Missing or empty price for symbol: IBTA | Quote: {}
Missing or empty price for symbol: IDT | Quote: {}
Missing or empty price for symbol: PGNY | Quote: {}
Missing or empty price for symbol: III | Quote: {}
Missing or empty price for symbol: IIIN | Quote: {}
Missing or empty price for symbol: IMKTA | Quote: {}
Missing or empty price for symbol: IMAX | Quote: {}
Missing or empty price for symbol: INDV | Quote: {}
Missing or empty price for symbol: IMXI | Quote: {}
Missing or empty price for symbol: INDI | Quote: {}
Missing or empty price for symbol: INSP | Quote: {}
Missing or empty price for symbol: ILMN | Quote: {}
Missing or empty price for symbol: INMD | Quote: {}
Missing or empty price for symbol: INSG | Quote: {}
Missing or empty price for symbol: INGR | Quote: {}
Missing or empty price for symbol: INGM | Quote: {}
Missing or empty price for symbol: INDB | Quote: {}
Missing or empty price for symbol: OOMA | Quote: {}
Missing or empty price for symbol: IMNM | Quote: {}
Missing or empty price for symbol: ABR | Quote: {}
Missing or empty price for symbol: INVA | Quote: {}
Missing or empty price for symbol: CLAR | Quote: {}
Missing or empty price for symbol: CCCC | Quote: {}
Missing or empty price for symbol: INVH | Quote: {}
Missing or empty price for symbol: CCB | Quote: {}
Missing or empty price for symbol: AMR | Quote: {}
Missing or empty price for symbol: AMPY | Quote: {}
Missing or empty price for symbol: AMPX | Quote: {}
Missing or empty price for symbol: AMPL | Quote: {}
Missing or empty price for symbol: INTU | Quote: {}
Missing or empty price for symbol: IQ | Quote: {}
Missing or empty price for symbol: IVT | Quote: {}
Missing or empty price for symbol: CLPR | Quote: {}
Missing or empty price for symbol: CLOV | Quote: {}
Missing or empty price for symbol: JXN | Quote: {}
Missing or empty price for symbol: KC | Quote: {}
Missing or empty price for symbol: JELD | Quote: {}
Missing or empty price for symbol: JANX | Quote: {}
Missing or empty price for symbol: KELYA | Quote: {}
Missing or empty price for symbol: JBHT | Quote: {}
Missing or empty price for symbol: JD | Quote: {}
Missing or empty price for symbol: JOBY | Quote: {}
Missing or empty price for symbol: J | Quote: {}
Missing or empty price for symbol: JMSB | Quote: {}
Missing or empty price for symbol: KD | Quote: {}
Missing or empty price for symbol: FNB | Quote: {}
Missing or empty price for symbol: KMX | Quote: {}
Missing or empty price for symbol: KGS | Quote: {}
Missing or empty price for symbol: KGC | Quote: {}
Missing or empty price for symbol: KVYO | Quote: {}
Missing or empty price for symbol: KKR | Quote: {}
Missing or empty price for symbol: KOD | Quote: {}
Missing or empty price for symbol: LAB | Quote: {}
Missing or empty price for symbol: KMT | Quote: {}
Missing or empty price for symbol: LAMR | Quote: {}
Missing or empty price for symbol: KTB | Quote: {}
Missing or empty price for symbol: KNSL | Quote: {}
Missing or empty price for symbol: KN | Quote: {}
Missing or empty price for symbol: KOPN | Quote: {}
Missing or empty price for symbol: KNF | Quote: {}
Missing or empty price for symbol: KYMR | Quote: {}
Missing or empty price for symbol: KLXE | Quote: {}
Missing or empty price for symbol: KIM | Quote: {}
Missing or empty price for symbol: KROS | Quote: {}
Missing or empty price for symbol: LMB | Quote: {}
Missing or empty price for symbol: LDOS | Quote: {}
Missing or empty price for symbol: LH | Quote: {}
Missing or empty price for symbol: LILA | Quote: {}
Missing or empty price for symbol: LNSR | Quote: {}
Missing or empty price for symbol: LOCO | Quote: {}
Missing or empty price for symbol: LDI | Quote: {}
Missing or empty price for symbol: LNG | Quote: {}
Missing or empty price for symbol: LOGI | Quote: {}
Missing or empty price for symbol: LEU | Quote: {}
Missing or empty price for symbol: LEG | Quote: {}
Missing or empty price for symbol: LNT | Quote: {}
Missing or empty price for symbol: LE | Quote: {}
Missing or empty price for symbol: LECO | Quote: {}
Missing or empty price for symbol: LCUT | Quote: {}
Missing or empty price for symbol: LNC | Quote: {}
Missing or empty price for symbol: LAUR | Quote: {}
Missing or empty price for symbol: LII | Quote: {}
Missing or empty price for symbol: LPX | Quote: {}
Missing or empty price for symbol: LRCX | Quote: {}
Missing or empty price for symbol: LRMR | Quote: {}
Missing or empty price for symbol: LSCC | Quote: {}
Missing or empty price for symbol: LSPD | Quote: {}
Missing or empty price for symbol: MCBS | Quote: {}
Missing or empty price for symbol: MKSI | Quote: {}
Missing or empty price for symbol: MGIC | Quote: {}
Missing or empty price for symbol: MHK | Quote: {}
Missing or empty price for symbol: MGNI | Quote: {}
Missing or empty price for symbol: MIDD | Quote: {}
Missing or empty price for symbol: LUNR | Quote: {}
Missing or empty price for symbol: PKX | Quote: {}
Missing or empty price for symbol: MCHP | Quote: {}
Missing or empty price for symbol: MFC | Quote: {}
Missing or empty price for symbol: MIRM | Quote: {}
Missing or empty price for symbol: LULU | Quote: {}
Missing or empty price for symbol: MLYS | Quote: {}
Missing or empty price for symbol: MPB | Quote: {}
Missing or empty price for symbol: MQ | Quote: {}
Missing or empty price for symbol: MPX | Quote: {}
Missing or empty price for symbol: MNMD | Quote: {}
Missing or empty price for symbol: MMC | Quote: {}
Missing or empty price for symbol: MRAM | Quote: {}
Missing or empty price for symbol: MRUS | Quote: {}
Missing or empty price for symbol: MMM | Quote: {}
Missing or empty price for symbol: IEP | Quote: {}
Missing or empty price for symbol: MOMO | Quote: {}
Missing or empty price for symbol: MRCC | Quote: {}
Missing or empty price for symbol: MOH | Quote: {}
Missing or empty price for symbol: MRK | Quote: {}
Missing or empty price for symbol: MMI | Quote: {}
Missing or empty price for symbol: MMSI | Quote: {}
Missing or empty price for symbol: IFRX | Quote: {}
Missing or empty price for symbol: MWA | Quote: {}
Missing or empty price for symbol: MYPS | Quote: {}
Missing or empty price for symbol: MTCH | Quote: {}
Missing or empty price for symbol: NABL | Quote: {}
Missing or empty price for symbol: MYGN | Quote: {}
Missing or empty price for symbol: NATL | Quote: {}
Missing or empty price for symbol: MSTR | Quote: {}
Missing or empty price for symbol: MTDR | Quote: {}
Missing or empty price for symbol: NCMI | Quote: {}
Missing or empty price for symbol: NCLH | Quote: {}
Missing or empty price for symbol: MSBI | Quote: {}
Missing or empty price for symbol: NBR | Quote: {}
Missing or empty price for symbol: MTG | Quote: {}
Missing or empty price for symbol: NAT | Quote: {}
Missing or empty price for symbol: NDSN | Quote: {}
Missing or empty price for symbol: MO | Quote: {}
Missing or empty price for symbol: MSGE | Quote: {}
Missing or empty price for symbol: MTH | Quote: {}
Missing or empty price for symbol: NFLX | Quote: {}
Missing or empty price for symbol: NFBK | Quote: {}
Missing or empty price for symbol: NG | Quote: {}
Missing or empty price for symbol: NOV | Quote: {}
Missing or empty price for symbol: NEWT | Quote: {}
Missing or empty price for symbol: NEXT | Quote: {}
Missing or empty price for symbol: NRDY | Quote: {}
Missing or empty price for symbol: NOG | Quote: {}
Missing or empty price for symbol: NNBR | Quote: {}
Missing or empty price for symbol: NOTV | Quote: {}
Missing or empty price for symbol: NMRK | Quote: {}
Missing or empty price for symbol: NFG | Quote: {}
Missing or empty price for symbol: NMIH | Quote: {}
Missing or empty price for symbol: NN | Quote: {}
Missing or empty price for symbol: NEO | Quote: {}
Missing or empty price for symbol: NOC | Quote: {}
Missing or empty price for symbol: NOA | Quote: {}
Missing or empty price for symbol: NJR | Quote: {}
Missing or empty price for symbol: NGNE | Quote: {}
Missing or empty price for symbol: NKTR | Quote: {}
Missing or empty price for symbol: NSP | Quote: {}
Missing or empty price for symbol: NYT | Quote: {}
Missing or empty price for symbol: LXEO | Quote: {}
Missing or empty price for symbol: NWL | Quote: {}
Missing or empty price for symbol: NVCR | Quote: {}
Missing or empty price for symbol: NVTS | Quote: {}
Missing or empty price for symbol: NU | Quote: {}
Missing or empty price for symbol: NXPI | Quote: {}
Missing or empty price for symbol: NVRI | Quote: {}
Missing or empty price for symbol: NTES | Quote: {}
Missing or empty price for symbol: CHCT | Quote: {}
Missing or empty price for symbol: NXE | Quote: {}
Missing or empty price for symbol: NVO | Quote: {}
Missing or empty price for symbol: NXST | Quote: {}
Missing or empty price for symbol: NSA | Quote: {}
Missing or empty price for symbol: OPCH | Quote: {}
Missing or empty price for symbol: O | Quote: {}
Missing or empty price for symbol: OLPX | Quote: {}
Missing or empty price for symbol: OC | Quote: {}
Missing or empty price for symbol: OSK | Quote: {}
Missing or empty price for symbol: OFIX | Quote: {}
Missing or empty price for symbol: OHI | Quote: {}
Missing or empty price for symbol: OBE | Quote: {}
Missing or empty price for symbol: PH | Quote: {}
Missing or empty price for symbol: PAA | Quote: {}
Missing or empty price for symbol: MLI | Quote: {}
Missing or empty price for symbol: ON | Quote: {}
Missing or empty price for symbol: OLLI | Quote: {}
Missing or empty price for symbol: OPBK | Quote: {}
Missing or empty price for symbol: OII | Quote: {}
Missing or empty price for symbol: CWK | Quote: {}
Missing or empty price for symbol: ONDS | Quote: {}
Missing or empty price for symbol: ORGO | Quote: {}
Missing or empty price for symbol: SDGR | Quote: {}
Missing or empty price for symbol: SCM | Quote: {}
Missing or empty price for symbol: NTNX | Quote: {}
Missing or empty price for symbol: NTRA | Quote: {}
Missing or empty price for symbol: UONE | Quote: {}
Missing or empty price for symbol: RYI | Quote: {}
Missing or empty price for symbol: PPIH | Quote: {}
Missing or empty price for symbol: PRA | Quote: {}
Missing or empty price for symbol: PSNL | Quote: {}
Missing or empty price for symbol: PKE | Quote: {}
Missing or empty price for symbol: QFIN | Quote: {}
Missing or empty price for symbol: RELY | Quote: {}
Missing or empty price for symbol: QURE | Quote: {}
Missing or empty price for symbol: REAX | Quote: {}
Missing or empty price for symbol: PRGO | Quote: {}
Missing or empty price for symbol: REXR | Quote: {}
Missing or empty price for symbol: UPB | Quote: {}
Missing or empty price for symbol: SPWH | Quote: {}
Missing or empty price for symbol: ULCC | Quote: {}
Missing or empty price for symbol: VCTR | Quote: {}
Missing or empty price for symbol: SKYW | Quote: {}
Missing or empty price for symbol: SN | Quote: {}
Missing or empty price for symbol: SUI | Quote: {}
Missing or empty price for symbol: SWBI | Quote: {}
Missing or empty price for symbol: SIFY | Quote: {}
Missing or empty price for symbol: SHO | Quote: {}
Missing or empty price for symbol: TEAD | Quote: {}
Missing or empty price for symbol: TX | Quote: {}
Missing or empty price for symbol: UCTT | Quote: {}
Missing or empty price for symbol: SLDB | Quote: {}
Missing or empty price for symbol: TSQ | Quote: {}
Missing or empty price for symbol: TECX | Quote: {}
Missing or empty price for symbol: TFPM | Quote: {}
Missing or empty price for symbol: TM | Quote: {}
Missing or empty price for symbol: STRL | Quote: {}
Missing or empty price for symbol: UPWK | Quote: {}
Missing or empty price for symbol: UA | Quote: {}
Missing or empty price for symbol: LYG | Quote: {}
Missing or empty price for symbol: VTGN | Quote: {}
Missing or empty price for symbol: XP | Quote: {}
Missing or empty price for symbol: ZH | Quote: {}
Missing or empty price for symbol: REG | Quote: {}
Missing or empty price for symbol: RCEL | Quote: {}
Missing or empty price for symbol: XNCR | Quote: {}
Missing or empty price for symbol: VTS | Quote: {}
Missing or empty price for symbol: GDDY | Quote: {}
Missing or empty price for symbol: GDYN | Quote: {}
Missing or empty price for symbol: MNDY | Quote: {}
Missing or empty price for symbol: WEAV | Quote: {}
Missing or empty price for symbol: VCYT | Quote: {}
Missing or empty price for symbol: SSNC | Quote: {}
Missing or empty price for symbol: VYX | Quote: {}
Missing or empty price for symbol: HUYA | Quote: {}
Missing or empty price for symbol: HROW | Quote: {}
Missing or empty price for symbol: NPCE | Quote: {}
Missing or empty price for symbol: OBIO | Quote: {}
Missing or empty price for symbol: CDTX | Quote: {}
Missing or empty price for symbol: AOS | Quote: {}
Missing or empty price for symbol: DGII | Quote: {}
Missing or empty price for symbol: IQV | Quote: {}
Missing or empty price for symbol: SITE | Quote: {}
Missing or empty price for symbol: TG | Quote: {}
Missing or empty price for symbol: ENVX | Quote: {}
Missing or empty price for symbol: TCOM | Quote: {}
Missing or empty price for symbol: VEL | Quote: {}
Missing or empty price for symbol: NAUT | Quote: {}
Missing or empty price for symbol: CPT | Quote: {}
Missing or empty price for symbol: RES | Quote: {}
Missing or empty price for symbol: STE | Quote: {}
Missing or empty price for symbol: LSTR | Quote: {}
Missing or empty price for symbol: RY | Quote: {}
Missing or empty price for symbol: TMO | Quote: {}
Missing or empty price for symbol: TCPC | Quote: {}
Missing or empty price for symbol: INCY | Quote: {}
Missing or empty price for symbol: BAC | Quote: {}
Missing or empty price for symbol: GGG | Quote: {}
Missing or empty price for symbol: SPOT | Quote: {}
Missing or empty price for symbol: CLNN | Quote: {}
Missing or empty price for symbol: EKSO | Quote: {}
Missing or empty price for symbol: FLNT | Quote: {}
Missing or empty price for symbol: AP | Quote: {}
Missing or empty price for symbol: CXAI | Quote: {}
Missing or empty price for symbol: CCEC | Quote: {}
Missing or empty price for symbol: DTIL | Quote: {}
Missing or empty price for symbol: AUB | Quote: {}
Missing or empty price for symbol: AZ | Quote: {}
Missing or empty price for symbol: ADSE | Quote: {}
Missing or empty price for symbol: FEAM | Quote: {}
Missing or empty price for symbol: SPFI | Quote: {}
Missing or empty price for symbol: ENLV | Quote: {}
Missing or empty price for symbol: IBRX | Quote: {}
Missing or empty price for symbol: PDFS | Quote: {}
Missing or empty price for symbol: GNLX | Quote: {}
Missing or empty price for symbol: CMBT | Quote: {}
Missing or empty price for symbol: LAZR | Quote: {}
Missing or empty price for symbol: NRXP | Quote: {}
Missing or empty price for symbol: KPTI | Quote: {}
Missing or empty price for symbol: NVCT | Quote: {}
Missing or empty price for symbol: IMUX | Quote: {}
Missing or empty price for symbol: CTRM | Quote: {}
Missing or empty price for symbol: XYZ | Quote: {}
Missing or empty price for symbol: TMQ | Quote: {}
Missing or empty price for symbol: BLKB | Quote: {}
Missing or empty price for symbol: RNAC | Quote: {}
Missing or empty price for symbol: SPIR | Quote: {}
Missing or empty price for symbol: MNDO | Quote: {}
Missing or empty price for symbol: OVID | Quote: {}
Missing or empty price for symbol: ENLT | Quote: {}
Missing or empty price for symbol: NEON | Quote: {}
Missing or empty price for symbol: MIST | Quote: {}
Missing or empty price for symbol: EVTL | Quote: {}
Missing or empty price for symbol: MAPS | Quote: {}
Missing or empty price for symbol: OPAD | Quote: {}
Missing or empty price for symbol: CPIX | Quote: {}
Missing or empty price for symbol: FTV | Quote: {}
Missing or empty price for symbol: UNIT | Quote: {}
Missing or empty price for symbol: SOHU | Quote: {}
Missing or empty price for symbol: WNEB | Quote: {}
Missing or empty price for symbol: PRKS | Quote: {}
Missing or empty price for symbol: LTBR | Quote: {}
Missing or empty price for symbol: CCOI | Quote: {}
Missing or empty price for symbol: GSHD | Quote: {}
Missing or empty price for symbol: SXT | Quote: {}
Missing or empty price for symbol: HRTX | Quote: {}
Missing or empty price for symbol: TR | Quote: {}
Missing or empty price for symbol: DH | Quote: {}
Missing or empty price for symbol: NWE | Quote: {}
Missing or empty price for symbol: TARA | Quote: {}
Missing or empty price for symbol: ASTH | Quote: {}
Missing or empty price for symbol: BULL | Quote: {}
Missing or empty price for symbol: RVSB | Quote: {}
Missing or empty price for symbol: KO | Quote: {}
Missing or empty price for symbol: ADI | Quote: {}
Missing or empty price for symbol: RXT | Quote: {}
Missing or empty price for symbol: AAOI | Quote: {}
Missing or empty price for symbol: TRDA | Quote: {}
Missing or empty price for symbol: AGI | Quote: {}
Missing or empty price for symbol: AOSL | Quote: {}
Missing or empty price for symbol: AORT | Quote: {}
Missing or empty price for symbol: AMSC | Quote: {}
Missing or empty price for symbol: ACTG | Quote: {}
Missing or empty price for symbol: ARAY | Quote: {}
Missing or empty price for symbol: AEVA | Quote: {}
Missing or empty price for symbol: DOW | Quote: {}
Missing or empty price for symbol: ELV | Quote: {}
Missing or empty price for symbol: ACLS | Quote: {}
Missing or empty price for symbol: PPL | Quote: {}
Missing or empty price for symbol: AVTR | Quote: {}
Missing or empty price for symbol: ITW | Quote: {}
Missing or empty price for symbol: BLBD | Quote: {}
Missing or empty price for symbol: CDNS | Quote: {}
Missing or empty price for symbol: BLK | Quote: {}
Missing or empty price for symbol: AUTL | Quote: {}
Missing or empty price for symbol: CC | Quote: {}
Missing or empty price for symbol: BFLY | Quote: {}
Missing or empty price for symbol: CCNE | Quote: {}
Missing or empty price for symbol: CNC | Quote: {}
Missing or empty price for symbol: BHC | Quote: {}
Missing or empty price for symbol: CNP | Quote: {}
Missing or empty price for symbol: BNT | Quote: {}
Missing or empty price for symbol: AXON | Quote: {}
Missing or empty price for symbol: BYD | Quote: {}
Missing or empty price for symbol: AVGO | Quote: {}
Missing or empty price for symbol: BSY | Quote: {}
Missing or empty price for symbol: BWXT | Quote: {}
Missing or empty price for symbol: CAC | Quote: {}
Missing or empty price for symbol: CENX | Quote: {}
Missing or empty price for symbol: CELH | Quote: {}
Missing or empty price for symbol: CGON | Quote: {}
Missing or empty price for symbol: CYBR | Quote: {}
Missing or empty price for symbol: CSTE | Quote: {}
Missing or empty price for symbol: CTRN | Quote: {}
Missing or empty price for symbol: DVAX | Quote: {}
Missing or empty price for symbol: CRNC | Quote: {}
Missing or empty price for symbol: DCGO | Quote: {}
Missing or empty price for symbol: COLL | Quote: {}
Missing or empty price for symbol: DDL | Quote: {}
Missing or empty price for symbol: CTBI | Quote: {}
Missing or empty price for symbol: DLB | Quote: {}
Missing or empty price for symbol: CURI | Quote: {}
Missing or empty price for symbol: DENN | Quote: {}
Missing or empty price for symbol: CPAY | Quote: {}
Missing or empty price for symbol: DINO | Quote: {}
Missing or empty price for symbol: CPRX | Quote: {}
Missing or empty price for symbol: ENR | Quote: {}
Missing or empty price for symbol: CRUS | Quote: {}
Missing or empty price for symbol: DOCN | Quote: {}
Missing or empty price for symbol: EMR | Quote: {}
Missing or empty price for symbol: TLRY | Quote: {}
Missing or empty price for symbol: FYBR | Quote: {}
Missing or empty price for symbol: GAP | Quote: {}
Missing or empty price for symbol: HAE | Quote: {}
Missing or empty price for symbol: ERII | Quote: {}
Missing or empty price for symbol: IRWD | Quote: {}
Missing or empty price for symbol: ERIE | Quote: {}
Missing or empty price for symbol: GAU | Quote: {}
Missing or empty price for symbol: FNKO | Quote: {}
Missing or empty price for symbol: IRD | Quote: {}
Missing or empty price for symbol: FRPT | Quote: {}
Missing or empty price for symbol: FRT | Quote: {}
Missing or empty price for symbol: GCT | Quote: {}
Missing or empty price for symbol: EQH | Quote: {}
Missing or empty price for symbol: GEHC | Quote: {}
Missing or empty price for symbol: FF | Quote: {}
Missing or empty price for symbol: FTEK | Quote: {}
Missing or empty price for symbol: FLUX | Quote: {}
Missing or empty price for symbol: LNTH | Quote: {}
Missing or empty price for symbol: HRMY | Quote: {}
Missing or empty price for symbol: LEGN | Quote: {}
Missing or empty price for symbol: INVE | Quote: {}
Missing or empty price for symbol: INFY | Quote: {}
Missing or empty price for symbol: IMVT | Quote: {}
Missing or empty price for symbol: HTZ | Quote: {}
Missing or empty price for symbol: JAMF | Quote: {}
Missing or empty price for symbol: KREF | Quote: {}
Missing or empty price for symbol: LIF | Quote: {}
Missing or empty price for symbol: HWC | Quote: {}
Missing or empty price for symbol: INTA | Quote: {}
Missing or empty price for symbol: KYTX | Quote: {}
Missing or empty price for symbol: WAB | Quote: {}
Missing or empty price for symbol: HSIC | Quote: {}
Missing or empty price for symbol: KLIC | Quote: {}
Missing or empty price for symbol: KALV | Quote: {}
Missing or empty price for symbol: IDCC | Quote: {}
Missing or empty price for symbol: ILPT | Quote: {}
Missing or empty price for symbol: IZEA | Quote: {}
Missing or empty price for symbol: FUTU | Quote: {}
Missing or empty price for symbol: KEX | Quote: {}
Missing or empty price for symbol: INSE | Quote: {}
Missing or empty price for symbol: JOYY | Quote: {}
Missing or empty price for symbol: IHRT | Quote: {}
Missing or empty price for symbol: MAC | Quote: {}
Missing or empty price for symbol: OLED | Quote: {}
Missing or empty price for symbol: Q | Quote: {}
Missing or empty price for symbol: NREF | Quote: {}
Missing or empty price for symbol: NIU | Quote: {}
Missing or empty price for symbol: NXT | Quote: {}
Missing or empty price for symbol: MPWR | Quote: {}
Missing or empty price for symbol: NTAP | Quote: {}
Missing or empty price for symbol: MSEX | Quote: {}
Missing or empty price for symbol: LYB | Quote: {}
Missing or empty price for symbol: NET | Quote: {}
Missing or empty price for symbol: NMR | Quote: {}
Missing or empty price for symbol: OCUL | Quote: {}
Missing or empty price for symbol: MXCT | Quote: {}
Missing or empty price for symbol: MMLP | Quote: {}
Missing or empty price for symbol: MDLZ | Quote: {}
Missing or empty price for symbol: HMC | Quote: {}
Missing or empty price for symbol: MELI | Quote: {}
Missing or empty price for symbol: NAGE | Quote: {}
Missing or empty price for symbol: NNDM | Quote: {}
Missing or empty price for symbol: JACK | Quote: {}
Missing or empty price for symbol: OCSL | Quote: {}
Missing or empty price for symbol: OPRA | Quote: {}
Missing or empty price for symbol: EWTX | Quote: {}
Missing or empty price for symbol: ALK | Quote: {}
Missing or empty price for symbol: KRP | Quote: {}
Missing or empty price for symbol: BBUC | Quote: {}
Missing or empty price for symbol: KNSA | Quote: {}
Missing or empty price for symbol: FOLD | Quote: {}
Missing or empty price for symbol: NAMS | Quote: {}
Missing or empty price for symbol: ALLO | Quote: {}
Missing or empty price for symbol: GEOS | Quote: {}
Missing or empty price for symbol: IIPR | Quote: {}
Missing or empty price for symbol: EVGN | Quote: {}
Missing or empty price for symbol: FELE | Quote: {}
Missing or empty price for symbol: EXC | Quote: {}
Missing or empty price for symbol: JG | Quote: {}
Missing or empty price for symbol: IGIC | Quote: {}
Missing or empty price for symbol: GRRR | Quote: {}
Missing or empty price for symbol: HSAI | Quote: {}
Missing or empty price for symbol: SIMO | Quote: {}
Missing or empty price for symbol: STRO | Quote: {}
Missing or empty price for symbol: AGNC | Quote: {}
Missing or empty price for symbol: UFPI | Quote: {}
Missing or empty price for symbol: DAO | Quote: {}
Missing or empty price for symbol: RPRX | Quote: {}
Missing or empty price for symbol: CLRB | Quote: {}
Missing or empty price for symbol: THFF | Quote: {}
Missing or empty price for symbol: TAK | Quote: {}
Missing or empty price for symbol: TRI | Quote: {}
Missing or empty price for symbol: ZTO | Quote: {}
Missing or empty price for symbol: ACIC | Quote: {}
Missing or empty price for symbol: BZ | Quote: {}
Missing or empty price for symbol: TTMI | Quote: {}
Missing or empty price for symbol: RYTM | Quote: {}
Missing or empty price for symbol: SNCR | Quote: {}
Missing or empty price for symbol: QUIK | Quote: {}
Missing or empty price for symbol: SPT | Quote: {}
Missing or empty price for symbol: TONX | Quote: {}
Missing or empty price for symbol: MANH | Quote: {}
Missing or empty price for symbol: ALTI | Quote: {}
Missing or empty price for symbol: BLSH | Quote: {}
Missing or empty price for symbol: BRCB | Quote: {}
Missing or empty price for symbol: MAR | Quote: {}
Missing or empty price for symbol: WYFI | Quote: {}
Missing or empty price for symbol: MANU | Quote: {}
Missing or empty price for symbol: TNXP | Quote: {}
Missing or empty price for symbol: SUIG | Quote: {}
Missing or empty price for symbol: ABVE | Quote: {}
Missing or empty price for symbol: FIGR | Quote: {}
