Error Report - Option Scanner Revenue Data Fetch
Timestamp: 2025-12-14T11:55:51.859828600
Total Errors: 1771

Missing or empty price for symbol: OPRX | Quote: {}
Missing or empty price for symbol: KLXE | Quote: {}
Missing or empty price for symbol: KNX | Quote: {}
Missing or empty price for symbol: KTB | Quote: {}
Missing or empty price for symbol: KOPN | Quote: {}
Missing or empty price for symbol: KYMR | Quote: {}
Missing or empty price for symbol: KRYS | Quote: {}
Missing or empty price for symbol: LADR | Quote: {}
Missing or empty price for symbol: KOD | Quote: {}
Missing or empty price for symbol: KNSL | Quote: {}
Missing or empty price for symbol: KN | Quote: {}
Missing or empty price for symbol: LAKE | Quote: {}
Missing or empty price for symbol: KVYO | Quote: {}
Missing or empty price for symbol: LITE | Quote: {}
Missing or empty price for symbol: LLY | Quote: {}
Missing or empty price for symbol: LFST | Quote: {}
Missing or empty price for symbol: LOAR | Quote: {}
Missing or empty price for symbol: LILA | Quote: {}
Missing or empty price for symbol: LDOS | Quote: {}
Missing or empty price for symbol: LOCO | Quote: {}
Missing or empty price for symbol: LENZ | Quote: {}
Missing or empty price for symbol: LECO | Quote: {}
Missing or empty price for symbol: LFVN | Quote: {}
Missing or empty price for symbol: LNG | Quote: {}
Missing or empty price for symbol: LOGI | Quote: {}
Missing or empty price for symbol: LAUR | Quote: {}
Missing or empty price for symbol: LBRDK | Quote: {}
Missing or empty price for symbol: LB | Quote: {}
Missing or empty price for symbol: LAZ | Quote: {}
Missing or empty price for symbol: LE | Quote: {}
Missing or empty price for symbol: LBTYA | Quote: {}
Missing or empty price for symbol: LEN | Quote: {}
Missing or empty price for symbol: LOPE | Quote: {}
Missing or empty price for symbol: LPX | Quote: {}
Missing or empty price for symbol: GNSS | Quote: {}
Missing or empty price for symbol: MAN | Quote: {}
Missing or empty price for symbol: LTH | Quote: {}
Missing or empty price for symbol: LPLA | Quote: {}
Missing or empty price for symbol: MCBS | Quote: {}
Missing or empty price for symbol: MGIC | Quote: {}
Missing or empty price for symbol: LW | Quote: {}
Missing or empty price for symbol: MHK | Quote: {}
Missing or empty price for symbol: MC | Quote: {}
Missing or empty price for symbol: MGY | Quote: {}
Missing or empty price for symbol: MIR | Quote: {}
Missing or empty price for symbol: MFC | Quote: {}
Missing or empty price for symbol: LX | Quote: {}
Missing or empty price for symbol: LUMN | Quote: {}
Missing or empty price for symbol: PKX | Quote: {}
Missing or empty price for symbol: MKTW | Quote: {}
Missing or empty price for symbol: MKSI | Quote: {}
Missing or empty price for symbol: MKC | Quote: {}
Missing or empty price for symbol: MIRM | Quote: {}
Missing or empty price for symbol: MGNI | Quote: {}
Missing or empty price for symbol: MOD | Quote: {}
Missing or empty price for symbol: MPW | Quote: {}
Missing or empty price for symbol: MRK | Quote: {}
Missing or empty price for symbol: ABL | Quote: {}
Missing or empty price for symbol: MRNA | Quote: {}
Missing or empty price for symbol: MOMO | Quote: {}
Missing or empty price for symbol: MPB | Quote: {}
Missing or empty price for symbol: MMSI | Quote: {}
Missing or empty price for symbol: MMM | Quote: {}
Missing or empty price for symbol: MMS | Quote: {}
Missing or empty price for symbol: MRUS | Quote: {}
Missing or empty price for symbol: MNMD | Quote: {}
Missing or empty price for symbol: MRCC | Quote: {}
Missing or empty price for symbol: MNTK | Quote: {}
Missing or empty price for symbol: MRAM | Quote: {}
Missing or empty price for symbol: MODG | Quote: {}
Missing or empty price for symbol: MLTX | Quote: {}
Missing or empty price for symbol: MRCY | Quote: {}
Missing or empty price for symbol: MSBI | Quote: {}
Missing or empty price for symbol: NATL | Quote: {}
Missing or empty price for symbol: MTH | Quote: {}
Missing or empty price for symbol: MUX | Quote: {}
Missing or empty price for symbol: MVST | Quote: {}
Missing or empty price for symbol: MYGN | Quote: {}
Missing or empty price for symbol: MSTR | Quote: {}
Missing or empty price for symbol: MUFG | Quote: {}
Missing or empty price for symbol: MX | Quote: {}
Missing or empty price for symbol: MTG | Quote: {}
Missing or empty price for symbol: NAT | Quote: {}
Missing or empty price for symbol: NABL | Quote: {}
Missing or empty price for symbol: MSGS | Quote: {}
Missing or empty price for symbol: MWA | Quote: {}
Missing or empty price for symbol: MSGE | Quote: {}
Missing or empty price for symbol: MYRG | Quote: {}
Missing or empty price for symbol: MYPS | Quote: {}
Missing or empty price for symbol: MXL | Quote: {}
Missing or empty price for symbol: NBBK | Quote: {}
Missing or empty price for symbol: NCLH | Quote: {}
Missing or empty price for symbol: MNST | Quote: {}
Missing or empty price for symbol: MSM | Quote: {}
Missing or empty price for symbol: ICMB | Quote: {}
Missing or empty price for symbol: NGVC | Quote: {}
Missing or empty price for symbol: NMM | Quote: {}
Missing or empty price for symbol: NJR | Quote: {}
Missing or empty price for symbol: NMIH | Quote: {}
Missing or empty price for symbol: NNBR | Quote: {}
Missing or empty price for symbol: NLY | Quote: {}
Missing or empty price for symbol: NGNE | Quote: {}
Missing or empty price for symbol: NHI | Quote: {}
Missing or empty price for symbol: NG | Quote: {}
Missing or empty price for symbol: NFLX | Quote: {}
Missing or empty price for symbol: NLOP | Quote: {}
Missing or empty price for symbol: NOG | Quote: {}
Missing or empty price for symbol: NOC | Quote: {}
Missing or empty price for symbol: NPKI | Quote: {}
Missing or empty price for symbol: NKTR | Quote: {}
Missing or empty price for symbol: NNI | Quote: {}
Missing or empty price for symbol: NGS | Quote: {}
Missing or empty price for symbol: NEO | Quote: {}
Missing or empty price for symbol: NEXT | Quote: {}
Missing or empty price for symbol: NMFC | Quote: {}
Missing or empty price for symbol: NMRK | Quote: {}
Missing or empty price for symbol: NOAH | Quote: {}
Missing or empty price for symbol: NICE | Quote: {}
Missing or empty price for symbol: NOTV | Quote: {}
Missing or empty price for symbol: NEOG | Quote: {}
Missing or empty price for symbol: GLTO | Quote: {}
Missing or empty price for symbol: NKTX | Quote: {}
Missing or empty price for symbol: NXPI | Quote: {}
Missing or empty price for symbol: NWBI | Quote: {}
Missing or empty price for symbol: NVTS | Quote: {}
Missing or empty price for symbol: NXST | Quote: {}
Missing or empty price for symbol: PLSE | Quote: {}
Missing or empty price for symbol: NVO | Quote: {}
Missing or empty price for symbol: NVCR | Quote: {}
Missing or empty price for symbol: NWL | Quote: {}
Missing or empty price for symbol: NVNO | Quote: {}
Missing or empty price for symbol: NTCT | Quote: {}
Missing or empty price for symbol: NXDR | Quote: {}
Missing or empty price for symbol: NU | Quote: {}
Missing or empty price for symbol: PHAT | Quote: {}
Missing or empty price for symbol: NXRT | Quote: {}
Missing or empty price for symbol: LXEO | Quote: {}
Missing or empty price for symbol: NSC | Quote: {}
Missing or empty price for symbol: NWS | Quote: {}
Missing or empty price for symbol: LXFR | Quote: {}
Missing or empty price for symbol: CHCT | Quote: {}
Missing or empty price for symbol: OLLI | Quote: {}
Missing or empty price for symbol: OPCH | Quote: {}
Missing or empty price for symbol: OM | Quote: {}
Missing or empty price for symbol: OUST | Quote: {}
Missing or empty price for symbol: OPK | Quote: {}
Missing or empty price for symbol: OSK | Quote: {}
Missing or empty price for symbol: ONIT | Quote: {}
Missing or empty price for symbol: NTRS | Quote: {}
Missing or empty price for symbol: OFIX | Quote: {}
Missing or empty price for symbol: OMC | Quote: {}
Missing or empty price for symbol: PATK | Quote: {}
Missing or empty price for symbol: ONDS | Quote: {}
Missing or empty price for symbol: OC | Quote: {}
Missing or empty price for symbol: CWK | Quote: {}
Missing or empty price for symbol: ORGO | Quote: {}
Missing or empty price for symbol: PI | Quote: {}
Missing or empty price for symbol: OBDC | Quote: {}
Missing or empty price for symbol: OBE | Quote: {}
Missing or empty price for symbol: OHI | Quote: {}
Missing or empty price for symbol: PAA | Quote: {}
Missing or empty price for symbol: ROOT | Quote: {}
Missing or empty price for symbol: PSNL | Quote: {}
Missing or empty price for symbol: SEDG | Quote: {}
Missing or empty price for symbol: QRVO | Quote: {}
Missing or empty price for symbol: PRGO | Quote: {}
Missing or empty price for symbol: RCKT | Quote: {}
Missing or empty price for symbol: PYPL | Quote: {}
Missing or empty price for symbol: NTNX | Quote: {}
Missing or empty price for symbol: RRGB | Quote: {}
Missing or empty price for symbol: UPB | Quote: {}
Missing or empty price for symbol: REXR | Quote: {}
Missing or empty price for symbol: NTRA | Quote: {}
Missing or empty price for symbol: PROF | Quote: {}
Missing or empty price for symbol: PNW | Quote: {}
Missing or empty price for symbol: REAX | Quote: {}
Missing or empty price for symbol: PKE | Quote: {}
Missing or empty price for symbol: RYI | Quote: {}
Missing or empty price for symbol: LXU | Quote: {}
Missing or empty price for symbol: QFIN | Quote: {}
Missing or empty price for symbol: TOUR | Quote: {}
Missing or empty price for symbol: PLTK | Quote: {}
Missing or empty price for symbol: VRCA | Quote: {}
Missing or empty price for symbol: HLIO | Quote: {}
Missing or empty price for symbol: STM | Quote: {}
Missing or empty price for symbol: UCTT | Quote: {}
Missing or empty price for symbol: SKIN | Quote: {}
Missing or empty price for symbol: SIFY | Quote: {}
Missing or empty price for symbol: SMC | Quote: {}
Missing or empty price for symbol: SLDB | Quote: {}
Missing or empty price for symbol: TFPM | Quote: {}
Missing or empty price for symbol: TM | Quote: {}
Missing or empty price for symbol: SN | Quote: {}
Missing or empty price for symbol: STRL | Quote: {}
Missing or empty price for symbol: SPG | Quote: {}
Missing or empty price for symbol: SPWH | Quote: {}
Missing or empty price for symbol: SNCY | Quote: {}
Missing or empty price for symbol: TOI | Quote: {}
Missing or empty price for symbol: TREX | Quote: {}
Missing or empty price for symbol: UA | Quote: {}
Missing or empty price for symbol: SUI | Quote: {}
Missing or empty price for symbol: SPOK | Quote: {}
Missing or empty price for symbol: TACT | Quote: {}
Missing or empty price for symbol: TENB | Quote: {}
Missing or empty price for symbol: TGB | Quote: {}
Missing or empty price for symbol: SSTK | Quote: {}
Missing or empty price for symbol: TX | Quote: {}
Missing or empty price for symbol: ULCC | Quote: {}
Missing or empty price for symbol: TEAD | Quote: {}
Missing or empty price for symbol: XP | Quote: {}
Missing or empty price for symbol: NRC | Quote: {}
Missing or empty price for symbol: YMM | Quote: {}
Missing or empty price for symbol: IRON | Quote: {}
Missing or empty price for symbol: WEAV | Quote: {}
Missing or empty price for symbol: VTS | Quote: {}
Missing or empty price for symbol: XNCR | Quote: {}
Missing or empty price for symbol: HUYA | Quote: {}
Missing or empty price for symbol: VIV | Quote: {}
Missing or empty price for symbol: LYTS | Quote: {}
Missing or empty price for symbol: MNDY | Quote: {}
Missing or empty price for symbol: GDDY | Quote: {}
Missing or empty price for symbol: SUZ | Quote: {}
Missing or empty price for symbol: REG | Quote: {}
Missing or empty price for symbol: LYG | Quote: {}
Missing or empty price for symbol: TCX | Quote: {}
Missing or empty price for symbol: CHEF | Quote: {}
Missing or empty price for symbol: ZYME | Quote: {}
Missing or empty price for symbol: EXPD | Quote: {}
Missing or empty price for symbol: RCEL | Quote: {}
Missing or empty price for symbol: RAVE | Quote: {}
Missing or empty price for symbol: AUDC | Quote: {}
Missing or empty price for symbol: RES | Quote: {}
Missing or empty price for symbol: TMO | Quote: {}
Missing or empty price for symbol: TXT | Quote: {}
Missing or empty price for symbol: JLL | Quote: {}
Missing or empty price for symbol: VIPS | Quote: {}
Missing or empty price for symbol: TDG | Quote: {}
Missing or empty price for symbol: BOX | Quote: {}
Missing or empty price for symbol: TCPC | Quote: {}
Missing or empty price for symbol: NHTC | Quote: {}
Missing or empty price for symbol: LSTR | Quote: {}
Missing or empty price for symbol: ENVX | Quote: {}
Missing or empty price for symbol: STE | Quote: {}
Missing or empty price for symbol: NAUT | Quote: {}
Missing or empty price for symbol: SPOT | Quote: {}
Missing or empty price for symbol: IT | Quote: {}
Missing or empty price for symbol: XRX | Quote: {}
Missing or empty price for symbol: OBIO | Quote: {}
Missing or empty price for symbol: PESI | Quote: {}
Missing or empty price for symbol: GGG | Quote: {}
Missing or empty price for symbol: TCOM | Quote: {}
Missing or empty price for symbol: HL | Quote: {}
Missing or empty price for symbol: CHCO | Quote: {}
Missing or empty price for symbol: FLNT | Quote: {}
Missing or empty price for symbol: GBIO | Quote: {}
Missing or empty price for symbol: ENLV | Quote: {}
Missing or empty price for symbol: CSIQ | Quote: {}
Missing or empty price for symbol: CLNN | Quote: {}
Missing or empty price for symbol: ABAT | Quote: {}
Missing or empty price for symbol: STBA | Quote: {}
Missing or empty price for symbol: SPFI | Quote: {}
Missing or empty price for symbol: GTBP | Quote: {}
Missing or empty price for symbol: GNLX | Quote: {}
Missing or empty price for symbol: IBRX | Quote: {}
Missing or empty price for symbol: CTRM | Quote: {}
Missing or empty price for symbol: CRWS | Quote: {}
Missing or empty price for symbol: NIO | Quote: {}
Missing or empty price for symbol: MAPS | Quote: {}
Missing or empty price for symbol: KPTI | Quote: {}
Missing or empty price for symbol: SGU | Quote: {}
Missing or empty price for symbol: ISPO | Quote: {}
Missing or empty price for symbol: MSDL | Quote: {}
Missing or empty price for symbol: ORC | Quote: {}
Missing or empty price for symbol: ALZN | Quote: {}
Missing or empty price for symbol: ENLT | Quote: {}
Missing or empty price for symbol: XYZ | Quote: {}
Missing or empty price for symbol: RNAC | Quote: {}
Missing or empty price for symbol: CMBT | Quote: {}
Missing or empty price for symbol: CPIX | Quote: {}
Missing or empty price for symbol: BULL | Quote: {}
Missing or empty price for symbol: UFCS | Quote: {}
Missing or empty price for symbol: OSIS | Quote: {}
Missing or empty price for symbol: TRMK | Quote: {}
Missing or empty price for symbol: ELTX | Quote: {}
Missing or empty price for symbol: REPL | Quote: {}
Missing or empty price for symbol: SITM | Quote: {}
Missing or empty price for symbol: RVSB | Quote: {}
Missing or empty price for symbol: IRMD | Quote: {}
Missing or empty price for symbol: FCUV | Quote: {}
Missing or empty price for symbol: FENC | Quote: {}
Missing or empty price for symbol: TR | Quote: {}
Missing or empty price for symbol: MOFG | Quote: {}
Missing or empty price for symbol: GCMG | Quote: {}
Missing or empty price for symbol: NWE | Quote: {}
Missing or empty price for symbol: ADI | Quote: {}
Missing or empty price for symbol: ORI | Quote: {}
Missing or empty price for symbol: EW | Quote: {}
Missing or empty price for symbol: FICO | Quote: {}
Missing or empty price for symbol: AOSL | Quote: {}
Missing or empty price for symbol: NBIS | Quote: {}
Missing or empty price for symbol: WVE | Quote: {}
Missing or empty price for symbol: TRDA | Quote: {}
Missing or empty price for symbol: ACHC | Quote: {}
Missing or empty price for symbol: PPL | Quote: {}
Missing or empty price for symbol: ACTG | Quote: {}
Missing or empty price for symbol: APP | Quote: {}
Missing or empty price for symbol: PEB | Quote: {}
Missing or empty price for symbol: AVTR | Quote: {}
Missing or empty price for symbol: ATGE | Quote: {}
Missing or empty price for symbol: CCNE | Quote: {}
Missing or empty price for symbol: BLK | Quote: {}
Missing or empty price for symbol: BLDP | Quote: {}
Missing or empty price for symbol: BAND | Quote: {}
Missing or empty price for symbol: CDNS | Quote: {}
Missing or empty price for symbol: BWXT | Quote: {}
Missing or empty price for symbol: BHC | Quote: {}
Missing or empty price for symbol: CLPT | Quote: {}
Missing or empty price for symbol: CBL | Quote: {}
Missing or empty price for symbol: BKH | Quote: {}
Missing or empty price for symbol: AWK | Quote: {}
Missing or empty price for symbol: BSBR | Quote: {}
Missing or empty price for symbol: BNT | Quote: {}
Missing or empty price for symbol: AXON | Quote: {}
Missing or empty price for symbol: AVIR | Quote: {}
Missing or empty price for symbol: CC | Quote: {}
Missing or empty price for symbol: AUTL | Quote: {}
Missing or empty price for symbol: DLB | Quote: {}
Missing or empty price for symbol: COLL | Quote: {}
Missing or empty price for symbol: CYBR | Quote: {}
Missing or empty price for symbol: CORT | Quote: {}
Missing or empty price for symbol: DVAX | Quote: {}
Missing or empty price for symbol: CWST | Quote: {}
Missing or empty price for symbol: CPRX | Quote: {}
Missing or empty price for symbol: CSTE | Quote: {}
Missing or empty price for symbol: EBS | Quote: {}
Missing or empty price for symbol: DCGO | Quote: {}
Missing or empty price for symbol: CPAY | Quote: {}
Missing or empty price for symbol: DFH | Quote: {}
Missing or empty price for symbol: DMAC | Quote: {}
Missing or empty price for symbol: ELAN | Quote: {}
Missing or empty price for symbol: TLRY | Quote: {}
Missing or empty price for symbol: DENN | Quote: {}
Missing or empty price for symbol: DAVA | Quote: {}
Missing or empty price for symbol: ETOR | Quote: {}
Missing or empty price for symbol: FNKO | Quote: {}
Missing or empty price for symbol: HELE | Quote: {}
Missing or empty price for symbol: FTEK | Quote: {}
Missing or empty price for symbol: IRD | Quote: {}
Missing or empty price for symbol: FUBO | Quote: {}
Missing or empty price for symbol: ET | Quote: {}
Missing or empty price for symbol: HLI | Quote: {}
Missing or empty price for symbol: HLIT | Quote: {}
Missing or empty price for symbol: FF | Quote: {}
Missing or empty price for symbol: GCT | Quote: {}
Missing or empty price for symbol: GTES | Quote: {}
Missing or empty price for symbol: EVLV | Quote: {}
Missing or empty price for symbol: FBRT | Quote: {}
Missing or empty price for symbol: FINV | Quote: {}
Missing or empty price for symbol: GLPI | Quote: {}
Missing or empty price for symbol: HPP | Quote: {}
Missing or empty price for symbol: GOTU | Quote: {}
Missing or empty price for symbol: LAND | Quote: {}
Missing or empty price for symbol: LIF | Quote: {}
Missing or empty price for symbol: INVE | Quote: {}
Missing or empty price for symbol: ILPT | Quote: {}
Missing or empty price for symbol: HSIC | Quote: {}
Missing or empty price for symbol: KYTX | Quote: {}
Missing or empty price for symbol: KALV | Quote: {}
Missing or empty price for symbol: KEX | Quote: {}
Missing or empty price for symbol: HTZ | Quote: {}
Missing or empty price for symbol: HYFM | Quote: {}
Missing or empty price for symbol: IART | Quote: {}
Missing or empty price for symbol: WAB | Quote: {}
Missing or empty price for symbol: LEGN | Quote: {}
Missing or empty price for symbol: BE | Quote: {}
Missing or empty price for symbol: LQDA | Quote: {}
Missing or empty price for symbol: IHRT | Quote: {}
Missing or empty price for symbol: MDLZ | Quote: {}
Missing or empty price for symbol: MPWR | Quote: {}
Missing or empty price for symbol: NREF | Quote: {}
Missing or empty price for symbol: NRDS | Quote: {}
Missing or empty price for symbol: NMR | Quote: {}
Missing or empty price for symbol: Q | Quote: {}
Missing or empty price for symbol: MLKN | Quote: {}
Missing or empty price for symbol: NOW | Quote: {}
Missing or empty price for symbol: MLCO | Quote: {}
Missing or empty price for symbol: NBIX | Quote: {}
Missing or empty price for symbol: MXCT | Quote: {}
Missing or empty price for symbol: HMC | Quote: {}
Missing or empty price for symbol: MTSI | Quote: {}
Missing or empty price for symbol: NTAP | Quote: {}
Missing or empty price for symbol: NXT | Quote: {}
Missing or empty price for symbol: NNDM | Quote: {}
Missing or empty price for symbol: GRRR | Quote: {}
Missing or empty price for symbol: KRP | Quote: {}
Missing or empty price for symbol: WOLF | Quote: {}
Missing or empty price for symbol: EXC | Quote: {}
Missing or empty price for symbol: OMCL | Quote: {}
Missing or empty price for symbol: OCSL | Quote: {}
Missing or empty price for symbol: FOLD | Quote: {}
Missing or empty price for symbol: JACK | Quote: {}
Missing or empty price for symbol: FELE | Quote: {}
Missing or empty price for symbol: RPRX | Quote: {}
Missing or empty price for symbol: SPT | Quote: {}
Missing or empty price for symbol: APLS | Quote: {}
Missing or empty price for symbol: DAO | Quote: {}
Missing or empty price for symbol: RYTM | Quote: {}
Missing or empty price for symbol: MAMA | Quote: {}
Missing or empty price for symbol: UFPI | Quote: {}
Missing or empty price for symbol: TAK | Quote: {}
Missing or empty price for symbol: TRI | Quote: {}
Missing or empty price for symbol: THFF | Quote: {}
Missing or empty price for symbol: BZ | Quote: {}
Missing or empty price for symbol: BBU | Quote: {}
Missing or empty price for symbol: TTMI | Quote: {}
Missing or empty price for symbol: QUIK | Quote: {}
Missing or empty price for symbol: SBET | Quote: {}
Missing or empty price for symbol: MANH | Quote: {}
Missing or empty price for symbol: VENU | Quote: {}
Missing or empty price for symbol: TONX | Quote: {}
Missing or empty price for symbol: MAR | Quote: {}
Missing or empty price for symbol: MANU | Quote: {}
Missing or empty price for symbol: ARCT | Quote: {}
Missing or empty price for symbol: SMA | Quote: {}
Missing or empty price for symbol: MASI | Quote: {}
Missing or empty price for symbol: HYFT | Quote: {}
Missing or empty price for symbol: KRMN | Quote: {}
Missing or empty price for symbol: FLY | Quote: {}
Missing or empty price for symbol: KRRO | Quote: {}
Missing or empty price for symbol: MASS | Quote: {}
Missing or empty price for symbol: MARA | Quote: {}
Missing or empty price for symbol: ITRN | Quote: {}
Missing or empty price for symbol: EMPD | Quote: {}
Missing or empty price for symbol: PSKY | Quote: {}
Missing or empty price for symbol: DGXX | Quote: {}
Missing or empty price for symbol: GLIBK | Quote: {}
Missing or empty price for symbol: CEPO | Quote: {}
Missing or empty price for symbol: NAKA | Quote: {}
Missing or empty price for symbol: GEMI | Quote: {}
Missing or empty price for symbol: ORBS | Quote: {}
Missing or empty price for symbol: HSDT | Quote: {}
Missing or empty price for symbol: BTI | Quote: {}
Missing or empty price for symbol: KYIV | Quote: {}
Missing or empty price for symbol: MLCI | Quote: {}
Missing or empty price for symbol: NKLR | Quote: {}
Missing or empty price for symbol: AMX | Quote: {}
Missing or empty price for symbol: AIP | Quote: {}
Missing or empty price for symbol: BCH | Quote: {}
Missing or empty price for symbol: ASND | Quote: {}
Missing or empty price for symbol: CMCO | Quote: {}
Missing or empty price for symbol: UVE | Quote: {}
Missing or empty price for symbol: ABVX | Quote: {}
Missing or empty price for symbol: ATAI | Quote: {}
Missing or empty price for symbol: TNDM | Quote: {}
Missing or empty price for symbol: STRC | Quote: {}
Missing or empty price for symbol: LPTH | Quote: {}
Missing or empty price for symbol: VIR | Quote: {}
Missing or empty price for symbol: INVZ | Quote: {}
Missing or empty price for symbol: YSG | Quote: {}
Missing or empty price for symbol: CLLS | Quote: {}
Missing or empty price for symbol: KDK | Quote: {}
Missing or empty price for symbol: TSHA | Quote: {}
Missing or empty price for symbol: PTRN | Quote: {}
Missing or empty price for symbol: ABCL | Quote: {}
Missing or empty price for symbol: ASR | Quote: {}
Missing or empty price for symbol: TWI | Quote: {}
Missing or empty price for symbol: LPSN | Quote: {}
Missing or empty price for symbol: NOTE | Quote: {}
Missing or empty price for symbol: GP | Quote: {}
Missing or empty price for symbol: STKH | Quote: {}
Missing or empty price for symbol: SBLX | Quote: {}
Missing or empty price for symbol: CMCM | Quote: {}
Missing or empty price for symbol: RDNW | Quote: {}
Missing or empty price for symbol: AGIO | Quote: {}
Missing or empty price for symbol: LCID | Quote: {}
Missing or empty price for symbol: ADAM | Quote: {}
Missing or empty price for symbol: LNZA | Quote: {}
Missing or empty price for symbol: AD | Quote: {}
Missing or empty price for symbol: BBBY | Quote: {}
Missing or empty price for symbol: GGR | Quote: {}
Missing or empty price for symbol: SQNS | Quote: {}
Missing or empty price for symbol: RVLV | Quote: {}
Missing or empty price for symbol: WES | Quote: {}
Missing or empty price for symbol: WERN | Quote: {}
Missing or empty price for symbol: WEN | Quote: {}
Missing or empty price for symbol: WING | Quote: {}
Missing or empty price for symbol: WHF | Quote: {}
Missing or empty price for symbol: WHD | Quote: {}
Missing or empty price for symbol: WH | Quote: {}
Missing or empty price for symbol: WGS | Quote: {}
Missing or empty price for symbol: SABR | Quote: {}
Missing or empty price for symbol: SAFT | Quote: {}
Missing or empty price for symbol: XHR | Quote: {}
Missing or empty price for symbol: MBC | Quote: {}
Missing or empty price for symbol: MBX | Quote: {}
Missing or empty price for symbol: XENE | Quote: {}
Missing or empty price for symbol: XIFR | Quote: {}
Missing or empty price for symbol: RXST | Quote: {}
Missing or empty price for symbol: WWR | Quote: {}
Missing or empty price for symbol: WWD | Quote: {}
Missing or empty price for symbol: SAIC | Quote: {}
Missing or empty price for symbol: RYAM | Quote: {}
Missing or empty price for symbol: MBI | Quote: {}
Missing or empty price for symbol: MATV | Quote: {}
Missing or empty price for symbol: WYNN | Quote: {}
Missing or empty price for symbol: MAX | Quote: {}
Missing or empty price for symbol: XBIT | Quote: {}
Missing or empty price for symbol: SAM | Quote: {}
Missing or empty price for symbol: MATW | Quote: {}
Missing or empty price for symbol: MAZE | Quote: {}
Missing or empty price for symbol: RYAN | Quote: {}
Missing or empty price for symbol: GMRE | Quote: {}
Missing or empty price for symbol: VNOM | Quote: {}
Missing or empty price for symbol: EVTV | Quote: {}
Missing or empty price for symbol: CNTB | Quote: {}
Missing or empty price for symbol: DRIO | Quote: {}
Missing or empty price for symbol: CEPU | Quote: {}
Missing or empty price for symbol: ETHM | Quote: {}
Missing or empty price for symbol: WRD | Quote: {}
Missing or empty price for symbol: BCIC | Quote: {}
Missing or empty price for symbol: LITS | Quote: {}
Missing or empty price for symbol: SSB | Quote: {}
Missing or empty price for symbol: BDSX | Quote: {}
Missing or empty price for symbol: RDNT | Quote: {}
Missing or empty price for symbol: ASST | Quote: {}
Missing or empty price for symbol: RCMT | Quote: {}
Missing or empty price for symbol: ROG | Quote: {}
Missing or empty price for symbol: RLAY | Quote: {}
Missing or empty price for symbol: ROAD | Quote: {}
Missing or empty price for symbol: RMR | Quote: {}
Missing or empty price for symbol: RGLD | Quote: {}
Missing or empty price for symbol: RGCO | Quote: {}
Missing or empty price for symbol: RLJ | Quote: {}
Missing or empty price for symbol: RMNI | Quote: {}
Missing or empty price for symbol: RHI | Quote: {}
Missing or empty price for symbol: ROL | Quote: {}
Missing or empty price for symbol: REZI | Quote: {}
Missing or empty price for symbol: RHP | Quote: {}
Missing or empty price for symbol: REYN | Quote: {}
Missing or empty price for symbol: RGP | Quote: {}
Missing or empty price for symbol: RMBS | Quote: {}
Missing or empty price for symbol: ROK | Quote: {}
Missing or empty price for symbol: RGTI | Quote: {}
Missing or empty price for symbol: RDY | Quote: {}
Missing or empty price for symbol: ROKU | Quote: {}
Missing or empty price for symbol: RGR | Quote: {}
Missing or empty price for symbol: RKLB | Quote: {}
Missing or empty price for symbol: REFI | Quote: {}
Missing or empty price for symbol: PBT | Quote: {}
Missing or empty price for symbol: PBR | Quote: {}
Missing or empty price for symbol: PANW | Quote: {}
Missing or empty price for symbol: RGNX | Quote: {}
Missing or empty price for symbol: ARBK | Quote: {}
Missing or empty price for symbol: PAYC | Quote: {}
Missing or empty price for symbol: REAL | Quote: {}
Missing or empty price for symbol: PAY | Quote: {}
Missing or empty price for symbol: PAX | Quote: {}
Missing or empty price for symbol: PECO | Quote: {}
Missing or empty price for symbol: SABS | Quote: {}
Missing or empty price for symbol: IVZ | Quote: {}
Missing or empty price for symbol: PEG | Quote: {}
Missing or empty price for symbol: NBP | Quote: {}
Missing or empty price for symbol: IP | Quote: {}
Missing or empty price for symbol: ITUB | Quote: {}
Missing or empty price for symbol: AQN | Quote: {}
Missing or empty price for symbol: UNCY | Quote: {}
Missing or empty price for symbol: GRDN | Quote: {}
Missing or empty price for symbol: DRTS | Quote: {}
Missing or empty price for symbol: WLAC | Quote: {}
Missing or empty price for symbol: ITT | Quote: {}
Missing or empty price for symbol: ITRI | Quote: {}
Missing or empty price for symbol: ZEPP | Quote: {}
Missing or empty price for symbol: ITGR | Quote: {}
Missing or empty price for symbol: LLYVA | Quote: {}
Missing or empty price for symbol: ISRG | Quote: {}
Missing or empty price for symbol: EMBJ | Quote: {}
Missing or empty price for symbol: DUOT | Quote: {}
Missing or empty price for symbol: BETA | Quote: {}
Missing or empty price for symbol: IRM | Quote: {}
Missing or empty price for symbol: IRIX | Quote: {}
Missing or empty price for symbol: IREN | Quote: {}
Missing or empty price for symbol: IRDM | Quote: {}
Missing or empty price for symbol: IRBT | Quote: {}
Missing or empty price for symbol: IR | Quote: {}
Missing or empty price for symbol: NFE | Quote: {}
